full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost
Charlie Taylor,0,1,84,1944,18,243,382.6,19,64.7,10,43
Che Adams,4,4,78,1095,17,184.9,226.2,524,92.3,4,53
Cheikhou Kouyat�,1,2,85,2524,36,162.3,394.6,279,83.5,10,48
Chris Basham,0,1,123,3242,37,212.1,707.6,103,102.7,13,46
Chris Mepham,1,0,27,911,19,20.8,276.8,138,43.7,1,43
Chris Wood,14,1,136,2436,33,299.6,552.2,1070,190.8,11,62
Christian Atsu,0,3,37,738,15,186.7,121.4,55,36.3,3,53
Christian Benteke,2,1,42,1252,18,248.3,231.8,632,110.9,5,57
Christian Eriksen,2,2,48,1090,18,348.9,262.4,225,83.3,1,86
Christian Fuchs,0,0,26,770,10,53.5,144.4,20,21.8,2,42
Christian Kabasele,0,2,73,2250,35,55.3,477,164,69.9,7,43
Christian Pulisic,9,8,127,1717,28,426,556.2,1059,204.2,6,74
Christoph Zimmermann,0,1,35,1430,27,25.5,366.4,62,45.6,3,44
C�dric Soares,1,1,61,1553,20,218.9,349,118,68.7,4,48
C�sar Azpilicueta,2,6,130,3229,53,708.7,905.2,438,205.4,8,61
Ciaran Clark,2,0,49,1186,14,14.9,331.4,128,47.6,4,43
Claudio Bravo,0,0,11,346,7,0,57.8,0,5.8,1,47
Conor Coady,0,0,118,3420,40,68.8,556.4,0,62.4,13,51
Conor Hourihane,3,5,83,1526,29,551.8,384.8,317,125.3,6,57
Craig Cathcart,0,0,77,2488,37,34.8,458,57,55.1,9,41
Craig Dawson,2,0,61,2359,49,67.5,550.6,403,102.1,4,48
Dale Stephens,0,1,63,2525,42,292.8,438.6,90,82.2,6,44
Dan Burn,0,0,86,2879,42,311.9,602.8,128,104.2,9,45
Dan Gosling,3,1,54,1254,23,151.9,316.4,259,72.6,2,48
Daniel Ceballos Fern�ndez,0,2,57,1687,21,439.9,346.4,130,91.7,7,52
Daniel Drinkwater,0,0,6,317,11,21.2,18.6,8,4.7,0,44
Daniel James,3,6,95,2281,29,428.1,415.2,622,146,7,57
Danny Ings,22,2,198,2800,44,458.3,1010,1558,302.4,6,76
Danny Rose,0,0,47,1753,28,230.8,288.4,44,56.5,5,53
