full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,element_type
Joelinton Cássio Apolinário de Lira,4,2,74,1979,36,250.1,357.0,612.0,122.2,3,57,4
Johann Berg Gudmundsson,2,0,50,1358,24,160.8,193.6,170.0,52.3,3,54,3
John Egan,0,1,57,2628,48,50.9,544.6,150.0,74.5,4,47,2
John Fleck,0,3,70,2573,47,530.8,351.0,154.0,103.7,5,56,3
John Lundstram,0,2,48,2027,41,346.9,245.4,206.0,79.3,3,48,3
John McGinn,3,7,114,3330,46,600.5,579.0,361.0,154.1,14,55,3
John Stones,4,0,128,1933,12,79.8,520.0,192.0,79.0,14,51,2
Jonathan Castro Otto,0,0,16,496,4,31.8,61.0,14.0,10.8,1,54,2
Jonjo Shelvey,1,3,74,2616,46,522.1,474.2,299.0,129.6,6,53,3
Jonny Evans,2,2,109,2473,31,129.0,532.4,115.0,77.9,10,56,2
Jordan Ayew,1,4,70,2086,42,238.6,278.6,451.0,96.6,6,56,4
Jordan Henderson,1,2,56,1704,23,262.3,358.0,108.0,72.9,4,54,3
Jordan Pickford,0,0,114,2742,39,10.1,698.4,0.0,70.9,10,48,1
Jorge Luiz Frello Filho,7,2,114,2006,17,383.5,588.8,175.0,114.9,14,47,3
Joseph Gomez,0,0,10,589,14,18.1,106.8,0.0,12.5,0,52,2
Joseph Willock,8,0,79,1210,18,137.2,436.6,401.0,97.3,4,49,3
Josh Brownhill,0,1,74,2812,42,309.1,350.4,384.0,104.5,10,49,3
Josh Maja,3,0,40,804,9,103.2,138.0,314.0,55.3,5,50,4
Josh Onomah,0,0,13,369,12,28.7,33.6,47.0,10.7,0,46,3
João Filipe Iria Santos Moutinho,1,1,73,2526,40,726.9,478.4,113.0,132.2,6,51,3
João Pedro Cavaco Cancelo,2,4,138,2298,21,673.0,569.8,394.0,163.7,14,58,2
Joël Veltman,1,1,96,2280,27,366.0,484.4,169.0,102.1,9,43,2
Juan Mata,1,3,32,507,6,132.8,108.4,86.0,32.7,1,58,3
Kai Havertz,4,6,91,1512,15,307.7,325.0,514.0,114.2,8,83,3
Kalvin Phillips,1,2,67,2428,34,539.3,535.4,82.0,115.8,9,49,3
Karl Darlow,0,0,80,2250,43,0.0,682.4,0.0,68.3,4,49,1
Karlan Grant,1,0,41,1120,26,63.8,93.0,259.0,41.2,3,56,4
Kasper Schmeichel,0,0,128,3420,50,0.0,769.0,0.0,76.9,11,54,1
Kean Bryan,1,0,29,1003,17,57.5,220.4,49.0,32.7,2,39,2
Kelechi Iheanacho,12,2,110,1452,23,413.9,540.2,814.0,176.5,5,62,4
Kenny Tete,0,1,50,1477,27,312.4,330.8,98.0,74.2,5,43,2
Kepa Arrizabalaga,0,0,26,585,8,0.0,113.6,0.0,11.3,2,47,1
Kevin De Bruyne,6,12,141,1995,17,1170.1,760.8,914.0,284.7,12,118,3
Kevin Long,0,0,14,636,13,12.0,102.6,25.0,14.0,1,43,2
Ki-Jana Hoever,0,0,13,573,11,59.7,100.4,26.0,18.7,0,44,2
Kieran Gibbs,0,0,5,810,25,65.1,132.0,10.0,20.8,0,43,2
Kieran Tierney,1,4,96,2299,27,490.1,446.4,201.0,113.9,8,52,2
Kortney Hause,1,0,32,630,6,2.2,147.0,57.0,20.7,3,44,2
Kurt Zouma,5,0,108,2027,25,72.6,577.8,339.0,99.0,9,53,2
Kyle Bartley,3,1,79,2583,53,82.3,675.4,252.0,101.0,5,44,2
Kyle Walker,1,1,91,1944,20,200.9,332.2,88.0,62.1,9,61,2
Kyle Walker-Peters,0,3,93,2646,41,262.2,497.6,316.0,107.5,9,47,2
Leander Dendoncker,1,2,77,2498,33,261.4,386.4,343.0,99.2,11,46,3
Leandro Trossard,5,6,132,2602,30,725.1,543.4,759.0,202.8,12,55,3
Lewis Dunk,5,0,130,2932,40,136.7,720.4,443.0,130.2,11,48,2
Liam Cooper,1,0,59,2186,41,17.7,620.4,259.0,89.8,6,43,2
