,full_name,code,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat
44,Leon Bailey,215711,2,3,49,3,1.5,102,0,0,3,0,15,42.4,24
68,Lewis Cook,155408,3,3,50,3,1.5,81,0,0,3,0,10.2,0.9,0
118,Lewis Dunk,83299,5,2,45,9,4.5,180,0,0,1,1,25.8,0.4,4
466,Lewis O'Brien,243345,16,3,50,4,2,164,0,0,1,1,26.2,2.8,8
404,Lisandro Martínez,221820,14,2,44,-1,-0.5,135,0,0,6,0,36.2,3.7,37
74,Lloyd Kelly,235530,3,2,45,12,6,180,0,1,4,1,66.2,14.3,2
32,Lucas Digne,101188,2,2,50,0,0,180,0,0,3,0,20,37.9,14
340,Luis Díaz,244731,12,3,80,11,5.5,167,1,0,3,0,54.8,19.3,66
534,Lukasz Fabianski,37096,19,1,50,4,2,118,0,0,1,0,47.4,0,0
386,Luke Shaw,106760,14,2,49,-1,-0.5,134,0,0,6,0,24,46.5,19
96,Mads Roerslev Rasmussen,226956,4,2,45,6,6,90,0,0,0,1,19.4,1.5,0
539,Manuel Lanzini,86934,19,3,55,2,1,77,0,0,1,0,1.2,2.8,16
144,Marc Cucurella Saseta,179268,6,2,50,4,2,105,0,1,2,0,31.6,46,26
188,Marc Guéhi,209036,7,2,45,1,0.5,180,0,0,3,0,44.4,11.4,2
313,Marc Roca Junqué,234370,11,3,50,4,2,160,0,0,3,0,27.8,24.1,17
389,Marcus Rashford,176297,14,3,64,3,1.5,180,0,0,6,0,21.2,40.6,65
80,Marcus Tavernier,201658,3,3,50,5,2.5,164,0,0,4,1,14.6,43.5,2
246,Marek Rodák,155529,9,1,45,7,3.5,180,0,0,2,1,19,0,0
73,Mark Travers,229600,3,1,45,7,3.5,180,0,0,4,1,45.2,0,0
5,Martin Ødegaard,184029,1,3,65,5,2.5,180,0,0,2,1,11,23.6,35
217,Mason Holgate,194164,8,2,45,2,1,162,0,0,3,0,49.2,11.4,46
160,Mason Mount,184341,6,3,80,5,2.5,154,0,0,2,1,32.8,27.4,37
94,Mathias Jensen,207283,4,3,50,15,7.5,131,1,1,2,1,59.4,32.7,22
427,Matt Targett,169359,15,2,50,8,8,90,0,0,0,1,17.2,37.6,0
42,Matty Cash,199796,2,2,49,3,1.5,180,0,0,3,0,26.6,17.3,10
568,Max Kilman,214048,20,2,45,8,4,180,0,0,2,1,41.2,1.8,6
537,Michail Antonio,57531,19,4,74,3,1.5,124,0,0,2,0,4.4,20.9,40
429,Miguel Almirón Rejala,179018,15,3,50,6,3,170,0,0,0,2,29.8,33,45
480,Mohamed Elyounoussi,96787,17,3,54,2,2,60,0,0,2,0,0,3.8,8
330,Mohamed Salah,118748,12,3,130,14,7,180,1,1,3,0,58.2,109.7,63
494,Mohammed Salisu,450527,17,2,44,-2,-1,180,0,0,6,0,35.6,17.7,6
131,Moisés Caicedo Corozo,486672,5,3,50,5,2.5,180,0,0,1,1,41,50.6,11
577,Morgan Gibbs-White,222531,20,3,55,4,2,180,0,0,2,1,16,26.5,24
492,Moussa Djenepo,431131,17,3,50,7,3.5,161,0,1,6,0,40.4,41.9,12
462,Moussa Niakhaté,199170,16,2,45,7,3.5,160,0,0,2,1,36,1,32
361,Nathan Aké,126184,13,2,50,13,6.5,180,0,0,0,2,42.6,3.9,42
580,Nathan Collins,432830,20,2,45,9,4.5,180,0,0,2,1,27.6,1.9,2
222,Nathan Patterson,243571,8,2,40,3,1.5,180,0,0,3,0,35.8,4,30
178,Nathaniel Clyne,57328,7,2,45,2,1,180,0,0,3,0,19.2,14.9,0
