,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
81,706,Lukasz Fabianski,118,0,0,0,0,0,0,0.032157723,0.032157723
106,1006,Luke Shaw,140,0.056737062,0.166988969,1,3,1,0.056737062,0.176023327,0.031463496
295,9685,Mads Roerslev,90,0,0,0,0,0,0,0,0
60,535,Manuel Lanzini,79,0.044208325,0,2,0,0,0.044208325,0.044208325,0
215,7134,Marc Cucurella,96,0.113133587,0.394889981,2,2,1,0.113133587,0.396269511,0.349461496
234,7603,Marc Guehi,180,0,0.069472365,0,1,0,0,0.220761649,0.151289284
150,5086,Marc Roca,165,0.025666622,0.078626161,1,2,0,0.025666622,0.104292784,0
62,556,Marcus Rashford,180,0.489697248,0.152089348,5,3,1,0.489697248,0.846424431,0.223307312
316,10741,Marcus Tavernier,173,0,0.327278316,0,3,0,0,0.312328905,0
262,8704,Marek Rodák,180,0,0,0,0,0,0,0,0
232,7582,Mark Travers,180,0,0,0,0,0,0,0.289030027,0.289030027
135,2517,Martin Odegaard,180,0.156684652,0.070892759,3,1,0,0.156684652,1.032458186,0.851584591
104,985,Mason Holgate,163,0.278707534,0.044429701,3,1,1,0.278707534,0.233308867,0.18887917
244,7768,Mason Mount,164,0.262234569,0.101747423,4,1,0,0.262234569,0.595909476,0.259777866
32,7166,Mathias Jensen,138,0.245567337,0.074068828,2,2,0,0.245567337,0.517992698,0.384706073
98,884,Matt Targett,90,0,0.076643169,0,3,0,0,0.742763758,0.715846121
272,8864,Matthew Cash,180,0.016840585,0,1,0,0,0.016840585,0.21616096,0.199320383
225,7332,Max Kilman,180,0.061051913,0,1,0,0,0.061051913,0.447945751,0.447945751
58,531,Michail Antonio,133,0.335870199,0.035951018,4,2,0,0.335870199,0.261042863,0
229,7420,Miguel Almirón,173,0.105534993,0.265885592,2,2,0,0.105534993,0.393508293,0.172345638
211,6894,Mohamed Elyounoussi,65,0.050547522,0,2,0,0,0.050547522,0.140403822,0.089856304
20,1250,Mohamed Salah,180,0.928316861,0.985885829,5,9,0,0.928316861,2.092262387,0.775861092
212,6923,Mohammed Salisu,180,0.044289846,0.04521222,1,1,1,0.044289846,0.854218911,0.809006691
283,9453,Moisés Caicedo,180,0.014622961,0.118831951,1,4,0,0.014622961,1.463100612,1.406779408
207,6857,Morgan Gibbs-White,180,0.584597766,0.088168114,3,1,1,0.584597766,0.545121595,0
239,7701,Moussa Djenepo,164,0.085412897,0.081150342,1,3,0,0.085412897,0.783839092,0.719150364
172,5989,Moussa Niakhate,167,0.470789433,0,3,0,0,0.470789433,0.127221376,0.127221376
84,751,N&#039;Golo Kanté,178,0.068598311,0.186219402,2,3,0,0.068598311,1.209594131,1.092913389
64,579,Nathan Aké,180,0.097082471,0,3,0,0,0.097082471,1.208712518,1.208712518
299,9733,Nathan Collins,180,0,0,0,0,0,0,0.662239701,0.662239701
309,10292,Nathan Patterson,180,0.070429161,0,2,0,0,0.070429161,0.115460202,0.115460202
66,603,Nathaniel Clyne,180,0,0.064033084,0,1,1,0,0.814967066,0.814967066
253,8228,Nathaniel Phillips,66,0.031389184,0,1,0,0,0.031389184,0.385635495,0.385635495
250,8204,Neco Williams,180,0.70833426,0.56736555,5,3,1,0.70833426,0.95731236,0.127221376
202,6840,Neeskens Kebano,153,0.111113213,0.078902163,3,1,0,0.111113213,0.327638261,0.159061603
155,5552,Nick Pope,180,0,0,0,0,0,0,0.550783038,0.550783038
144,3697,Odsonne Edouard,83,0.516368508,0,3,0,1,0.516368508,0.421418585,0.298626274
137,2958,Oleksandr Zinchenko,165,0.114458669,0.587520897,3,2,0,0.114458669,0.911534846,0.797076225
273,8865,Ollie Watkins,111,0.506384432,1.16104831,2,3,0,0.506384432,1.759590404,0.092157662
181,6088,Orel Mangala,100,0.027695516,0,1,0,0,0.027695516,0.188388541,0.188388541
97,842,Oriol Romeu,77,0,0,0,0,0,0,0,0
131,2335,Pablo Fornals,162,0.041650083,0.085534785,2,3,0,0.041650083,0.760339823,0.723852746
1,239,Pascal Groß,180,1.735150158,0.345925378,4,5,0,1.735150158,2.207963943,0.20498278
265,8717,Pascal Struijk,180,0.127580542,0.803935349,2,1,0,0.127580542,0.527234644,0.527234644
94,822,Patrick Bamford,113,0.64948836,0,4,0,0,0.64948836,0.64948836,0
301,9738,Patson Daka,39,0.07953465,0,1,0,0,0.07953465,0.142783403,0.063248761
190,6382,Pedro Neto,171,0.100468561,0.43787951,3,2,0,0.100468561,1.436099708,1.014868349
26,6055,Phil Foden,140,0.505017936,0.605817638,2,4,0,0.505017936,1.612565041,0.52844302
174,6034,Philip Billing,112,0.014949395,0.026748877,1,1,1,0.014949395,0.026748877,0.026748877
