full_name,element_type,now_cost,total_points,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Ayoze Pérez,3,60,58,1322,2,1,21,5,255.6,323.6,482,770,Ayoze Pérez,1326,4.036575317,1.248606492,31,23,2,4.036575317,9.872759374,6.759955797
Bailey Peacock-Farrell,1,40,3,360,0,0,14,0,82.6,0,0,8482,Bailey Peacock-Farrell,360,0,0,0,0,0,0,0.007730924,0.007730924
Bamidele Alli,3,74,30,613,0,2,9,3,103.4,132.1,165,645,Dele Alli,615,1.674591329,1.326244472,12,9,0,1.674591329,4.322703792,2.134588031
Ben Davies,2,45,52,1340,0,2,16,4,232.8,136.8,65,660,Ben Davies,1330,0.197693076,0.437375445,3,8,1,0.197693076,2.684573537,2.331053892
Ben Godfrey,2,51,100,2683,0,2,35,11,610.4,84.3,152,7689,Ben Godfrey,2682,0.793114735,0.97848325,14,4,4,0.793114735,5.550382631,4.866148515
Ben Johnson,2,39,25,516,1,0,10,1,98,63.7,28,6424,Ben Johnson,506,0.48440983,0.385865556,3,4,1,0.48440983,1.443989877,0.667887932
Ben Mee,2,47,102,2693,2,0,41,10,691,71.6,312,1654,Ben Mee,2695,1.619415545,0.805203526,22,7,3,1.619415545,2.118281593,2.015906334
Ben Osborn,3,47,51,1599,1,0,29,4,263.4,325.6,171,7714,Ben Osborn,1607,1.090726096,2.522014765,10,17,1,1.090726096,6.371751212,4.422309449
Ben White,2,45,104,3192,0,0,44,12,488.6,152.5,153,7298,Ben White,3208,0.479218181,0.943232409,10,8,3,0.479218181,8.348605417,7.907715395
Benjamin Chilwell,2,59,139,2286,3,6,23,12,545,535.8,408,782,Ben Chilwell,2296,2.9848904,2.455677841,27,30,3,2.9848904,11.33096135,8.155131921
Benjamin Mendy,2,59,63,951,2,1,10,5,179.8,117.1,89,3389,Benjamin Mendy,955,0.334140891,0.301439743,6,5,2,0.334140891,2.769136801,2.348602511
Bernard Anício Caldeira Duarte,3,57,21,447,1,0,7,2,104.8,142.7,80,7063,Bernard,438,0.193635611,0.525448304,6,10,2,0.193635611,1.282545144,0.702659396
Bernardo Mota Veiga de Carvalho e Silva,3,74,94,2063,2,7,18,11,399.6,476.2,463,3635,Bernardo Silva,2080,3.598813418,4.823389741,28,27,5,3.598813418,17.1123898,10.65352136
Bernd Leno,1,50,131,3131,0,0,37,11,702.2,0,2,181,Bernd Leno,3136,0,0,0,0,0,0,4.32660098,4.32660098
Bertrand Traoré,3,58,135,2315,7,7,31,11,528.4,530.6,917,695,Bertrand Traoré,2362,6.304105126,4.570987722,64,35,1,6.304105126,9.835355166,1.332214053
Billy Sharp,4,55,39,725,3,0,15,0,121.2,68.1,162,7712,Billy Sharp,723,2.983076898,0.583278213,9,4,1,1.460739223,2.650699468,0.66489535
Bobby Decordova-Reid,4,53,88,2367,5,3,32,9,384.8,254.1,503,6827,Bobby Reid,2394,4.269851533,1.309700711,34,14,7,4.269851533,8.202645359,3.131384481
Branislav Ivanovic,2,44,20,764,0,0,19,2,117.8,12.7,61,682,Branislav Ivanovic,761,0.459470816,0.048929498,4,1,2,0.459470816,0.349197341,0.349197341
Bruno Miguel Borges Fernandes,3,113,244,3101,18,14,36,13,1292.6,1414.9,1253,1228,Bruno Fernandes,3117,16.01945446,11.47499598,121,95,6,8.407839627,26.91141238,11.93228487
Bukayo Saka,3,51,114,2554,5,5,31,8,493,650.6,984,7322,Bukayo Saka,2577,7.169173587,4.511790655,61,38,1,7.169173587,18.29246639,9.18043957
Callum Hudson-Odoi,3,57,59,1050,2,3,5,6,291.8,471.5,336,6456,Callum Hudson-Odoi,1048,1.369689252,3.104141779,23,31,0,1.369689252,7.824358188,5.499199015
Callum Robinson,4,52,79,1552,5,3,42,3,259,251.3,365,4476,Callum Robinson,1580,3.203063399,1.049963206,31,16,0,3.203063399,5.216540754,1.596335538
Callum Wilson,4,65,134,2081,12,6,37,5,557.4,230.4,761,468,Callum Wilson,2079,13.59009125,3.046300631,49,17,2,10.54541587,14.20559293,1.052545197
Calum Chambers,2,45,36,751,0,3,10,2,171.8,169.4,77,508,Calum Chambers,750,0.363973163,1.042764608,8,11,0,0.363973163,3.835656375,2.810004845
Carlos Vinicius Alves Morais,4,69,13,305,1,0,2,1,52.6,26.9,142,7395,Carlos Vinicius,300,1.254992157,0.102793848,7,2,2,1.254992157,1.421263441,0.086718466
Charlie Taylor,2,44,83,2425,0,2,42,8,494.4,248.5,52,6044,Charlie Taylor,2430,0.114516081,1.590359844,3,12,1,0.114516081,4.60969574,4.193467841
Che Adams,4,57,137,2662,9,7,51,7,581.8,488.6,964,7700,Che Adams,2685,12.11873416,5.227753505,55,37,1,12.11873416,14.48691171,2.74462433
Cheikhou Kouyaté,3,48,82,3121,1,0,56,8,574.8,103,134,532,Cheikhou Kouyaté,3126,0.823928103,0.830787105,7,8,4,0.823928103,4.744332442,4.530508513
Chris Basham,2,46,51,2576,0,1,51,2,513.6,202.3,160,7704,Chris Basham,2602,0.619566727,1.066536583,10,12,5,0.619566727,7.368293839,6.053649366
Chris Wood,4,66,138,2741,12,3,43,9,595.8,323.2,1129,4456,Chris Wood,2765,12.95413543,2.038118389,70,23,0,11.43179769,13.58528152,2.14985176
