full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Gylfi Sigurdsson,2,4,95,2555,45,765.1,454.6,484,170.5,6,73,714,Gylfi Sigurdsson,2580,4.019367754,4.011605945,46,52,3,3.258198898,11.04620074,7.521261834
Hamza Choudhury,1,1,35,883,12,70,177.6,83,33.1,3,42,6418,Hamza Choudhury,879,0.336653279,0.112837642,7,4,2,0.336653279,2.745781757,2.528091561
Harry Kane,18,2,158,2588,36,391,843.8,1071,230.6,6,110,647,Harry Kane,2595,13.29706595,3.117006309,82,27,4,11.77476505,16.85461588,3.051301309
Harry Maguire,1,0,123,3420,36,214.6,772,371,136.2,13,53,1687,Harry Maguire,3420,2.772249752,0.453924693,31,16,6,2.772249752,12.0299432,11.71480491
Harry Wilson,7,1,91,1637,32,242.1,377.4,667,128.5,2,57,5596,Harry Wilson,1672,4.16500081,2.217743622,56,14,2,4.16500081,7.921821792,4.210727058
Harry Winks,0,0,52,2223,31,323.4,361.8,74,76.1,6,52,971,Harry Winks,2236,0.390079569,0.8992681,14,17,9,0.390079569,7.997803209,7.140216051
Harvey Barnes,6,10,133,2075,24,517.4,525,893,193.7,9,58,6681,Harvey Barnes,2094,8.480619835,4.085434273,61,35,0,8.480619835,17.09378569,6.48778346
Heung-Min Son,11,13,169,2478,32,606.1,800.6,1144,254.6,7,97,453,Son Heung-Min,2511,9.701704866,6.721727088,81,41,0,8.940535909,18.80001169,6.514012955
H�ctor Beller�n,1,0,44,1156,18,76.9,187.8,103,37,4,52,492,Héctor Bellerín,1164,0.432504617,0.449982606,7,3,2,0.432504617,4.19036074,3.453754239
Hugo Lloris,0,0,98,1808,21,0,564.6,0,56.5,6,53,637,Hugo Lloris,1808,0,0,0,0,0,0,0.612896809,0.612896809
�aglar S�y�nc�,1,1,120,3036,35,79,755.6,238,107.5,12,49,5264,Caglar Söyüncü,3042,1.431615431,0.310193662,17,5,4,1.431615431,6.562317109,6.455812385
�rjan Nyland,0,0,15,537,12,0,101.2,0,10.2,1,43,250,Ørjan Nyland,536,0,0,0,0,0,0,0.194506988,0.194506988
Ibrahim Amadou,0,0,18,756,20,18.3,177.2,31,22.7,1,45,3358,Ibrahim Amadou,757,0.592750007,0.050286222,6,1,1,0.592750007,1.24645482,1.150982291
